Taxon,FAD,LAD
Albertonectes_vanderveldei,76.27,72.05
Archaeonectrus_rostratus,199.6,190.82
Aristonectes_quiriquinensis,70.63,66.04
Attenborosaurus_conybeari,195.31,190.82
Avalonnectes_arturi,201.3,199.3
Bobosaurus_forojuliensis,235.39,233.5
Brancasaurus_brancai,141.93,139.39
Callawayasaurus_colombiensis,125,122.98
Ceresiosaurus_calcagnii,241.5,239.1
Colymbosaurus_trochanterius,157.3,147.72
Corosaurus_alcovensis,248.46,247.06
Cryptoclidus_eurymerus,166.1,163.5
Cyamodus_orientalis,233.5,228.35
Dactylosaurus_schroederi,246.36,244.94
Diandongosaurus_acutidentatus,244.94,243.99
Dianmeisaurus_gracilis,244.94,243.99
Dianopachysaurus_dingi,244.94,243.99
Dolichorhynchops_osborni,87.86,80.97
Elasmosaurus_platyurus,81.13,78.34
Eopleiosaurus_antiquior,201.3,201.1
Glyphoderma_kangi,237,235.39
Hauffiosaurus_longirostris,182.7,178.24
Hauffiosaurus_tomistomimus,182.7,178.24
Hauffiosaurus_zanoni,182.7,178.24
Henodus_chelyops,235.39,233.5
Hydrotherosaurus_alexandrae,72.05,66
Kaiwhekea_katiki,72.05,66
Keichousaurus_hui,239.1,235.39
Kronosaurus_boyacensis,126.3,113
Kronosaurus_queenslandicus,126.3,100.5
Lariosaurus_balsami,239.1,237
Lariosaurus_valceresii,239.1,237
Lariosaurus_xingyiensis,237,235.39
Libonectes_atlasense,93.9,92.9
Lindwurmia_thiuda,201.1,200.85
Liopleurodon_ferox,166.07,161.2
Luskhan_itilensis,132.9,130
Macroplata_tenuiceps,200.1,199.3
Manemergus_anguirostris,93.9,92.9
Meyerasaurus_victor,182.7,178.24
Microcleidus_brachypterygius,182.7,178.24
Microcleidus_homalospondylus,182.7,178.24
Microcleidus_sp,182.7,178.24
Microcleidus_tournemirensis,178.24,174.15
Morenosaurus_stocki,72.05,66
Muraenosaurus_leedsii,166.07,161.2
Neusticosaurus_edwardsii,239.7,237
Neusticosaurus_peyeri,239.7,237
Neusticosaurus_pusillus,239.7,237
Nichollssaura_borealis,113,100.5
Nothosaurus_giganteus,243.99,233.5
Nothosaurus_marchicus,246.36,241.5
Nothosaurus_youngi,237,235.39
Panzhousaurus_rotundirostris,244.94,243.99
Paraplacodus_broilii,242.57,240.3
Peloneustes_philarchus,166.1,163.5
Placodus_gigas,246.36,239.1
Placodus_inexpectatus,244.94,243.99
Plesiopterys_wildi,182.7,178.24
Plesiosaurus_dolichodeirus,195.31,190.82
Plesiosaurus_sp,195.31,190.82
Polycotylus_latipinnis,87.86,80.97
Psephochelys_polyosteoderma,233.5,228.35
Psephoderma_alpinum,217.42,201.3
Qianxisaurus_chajiangensis,237,235.39
Rhomaleosaurus_cramptoni,182.7,178.24
Rhomaleosaurus_megacephalus,201.1,199.3
Rhomaleosaurus_zetlandicus,182.7,178.24
Sachicasaurus_vitae,129.4,113
Seelyosaurus_guilelmiimperatori,182.7,178.24
Serpianosaurus_mirigiolensis,242.57,240.3
Sinocyamodus_xinpuensis,233.5,228.35
Styxosaurus_sp,83.64,80.97
Thalassiodracon_hawkinsii,201.3,201.1
Thalassomedon_haningtoni,100.5,93.9
Trinacromerum_bentonianum,93.9,91.41
Wangosaurus_brevirostris,242,235
Wumengosaurus_delicatomandibularis,244.94,243.99
Yunguisaurus_liae,237,235.39